id,lang,icon,color,title,description,description_long
case-converter,es,Aa,#f56565,Conversor de mayúsculas,"Convierte texto entre camelCase, snake_case, MAYÚSCULAS, Título, kebab-case y más.","<p>La conversión de mayúsculas y minúsculas es una tarea diaria para desarrolladores y escritores. Ya sea camelCase para variables de JavaScript, snake_case para Python, kebab-case para clases CSS o PascalCase para componentes, reescribir manualmente el texto hace perder tiempo. Esta herramienta convierte cualquier entrada a todos los formatos principales a la vez.</p>
<p>Escribe o pega cualquier texto — incluidas entradas en camelCase o snake_case — y obtén 12 formatos simultáneamente. Haz clic en cualquier tarjeta de resultado para copiarlo al portapapeles. Formatos compatibles: lowercase, UPPERCASE, Title Case, Sentence case, camelCase, PascalCase, snake_case, CONSTANT_CASE, kebab-case, COBOL-CASE, dot.case, path/case.</p>"
case-converter,fr,Aa,#f56565,Case Converter,"Convert text between camelCase, snake_case, UPPER, Title, kebab-case and more.","<p>La conversion de casse est une tâche quotidienne pour les développeurs et les rédacteurs. Que vous ayez besoin de camelCase pour les variables JavaScript, de snake_case pour Python, de kebab-case pour les classes CSS ou de PascalCase pour les noms de composants, retaper manuellement le texte est une perte de temps. Cet outil convertit n'importe quelle entrée en tous les formats principaux à la fois.</p>
<p>Saisissez ou collez n'importe quel texte — y compris des entrées en camelCase ou snake_case — et obtenez 12 formats simultanément. Cliquez sur n'importe quelle carte de résultat pour le copier dans le presse-papiers. Formats pris en charge : lowercase, UPPERCASE, Title Case, Sentence case, camelCase, PascalCase, snake_case, CONSTANT_CASE, kebab-case, COBOL-CASE, dot.case, path/case.</p>"
case-converter,he,Aa,#f56565,ממיר רישיות,"המרת טקסט בין camelCase, snake_case, UPPER, Title, kebab-case ועוד.","<p>המרת רישיות היא משימה יומיומית למפתחים וכותבים. בין אם צריכים camelCase למשתני JavaScript, snake_case ל-Python, kebab-case למחלקות CSS או PascalCase לשמות רכיבים, הקלדה מחדש ידנית בזבזנית. כלי זה ממיר כל קלט לכל הפורמטים העיקריים בבת אחת.</p>
<p>הקלידו או הדביקו כל טקסט — כולל קלט camelCase או snake_case — וקבלו 12 פורמטים בו-זמנית. לחצו על כל כרטיס תוצאה כדי להעתיק ללוח. פורמטים נתמכים: lowercase, UPPERCASE, Title Case, Sentence case, camelCase, PascalCase, snake_case, CONSTANT_CASE, kebab-case, COBOL-CASE, dot.case, path/case.</p>"
case-converter,pt,Aa,#f56565,Case Converter,"Convert text between camelCase, snake_case, UPPER, Title, kebab-case and more.",null
case-converter,ru,Aa,#f56565,Конвертер регистра,"Конвертируйте текст между camelCase, snake_case, UPPER, Title, kebab-case и другими форматами.","<p>Преобразование регистра — ежедневная задача для разработчиков и писателей. Будь то camelCase для переменных JavaScript, snake_case для Python, kebab-case для CSS-классов или PascalCase для компонентов, ручной перевод текста отнимает время. Инструмент конвертирует любой ввод сразу во все основные форматы.</p>
<p>Введите или вставьте любой текст — включая camelCase или snake_case — и получите 12 форматов одновременно. Нажмите на карточку, чтобы скопировать нужный результат. Поддерживаются: lowercase, UPPERCASE, Title Case, Sentence case, camelCase, PascalCase, snake_case, CONSTANT_CASE, kebab-case, COBOL-CASE, dot.case, path/case.</p>"
case-converter,ua,Aa,#f56565,Конвертер регістру,"Конвертуйте текст між camelCase, snake_case, ВЕРХНІЙ, Заголовок, kebab-case та іншими.","<p>Конвертація регістру — щоденне завдання для розробників та авторів. camelCase для JavaScript, snake_case для Python, kebab-case для CSS, PascalCase для компонентів — ручне переписування займає час. Інструмент конвертує будь-який ввід одразу у всі основні формати.</p>
<p>Введіть або вставте текст — включаючи camelCase або snake_case — і отримайте 12 форматів одночасно. Натисніть на картку, щоб скопіювати. Підтримуються: lowercase, UPPERCASE, Title Case, Sentence case, camelCase, PascalCase, snake_case, CONSTANT_CASE, kebab-case, COBOL-CASE, dot.case, path/case.</p>"
csv-json,de,⇄,#f59e0b,CSV ↔ JSON,"Convert CSV data to a JSON array, or convert a JSON array back to CSV.","<p>CSV und JSON sind zwei der gängigsten Datenaustauschformate. CSV ist kompakt und tabellenfreundlich; JSON wird von APIs und Webanwendungen bevorzugt. Die Konvertierung zwischen ihnen ist eine häufige Aufgabe beim Erstellen von Integrationen, Importieren von Daten oder Verarbeiten von Exporten aus Datenbanken und Tabellenkalkulationen.</p>
<p>Fügen Sie CSV-Daten mit einer Kopfzeile ein und klicken Sie auf CSV → JSON, um ein JSON-Array zu erhalten, bei dem jede Zeile zu einem Objekt mit den Spaltennamen als Schlüssel wird. Für die Gegenrichtung fügen Sie ein JSON-Array ein und klicken Sie auf JSON → CSV. Aktivieren Sie Pretty-print für lesbare JSON-Ausgabe.</p>"
csv-json,en,⇄,#f59e0b,CSV ↔ JSON,"Convert CSV data to a JSON array, or convert a JSON array back to CSV.","<p>CSV and JSON are two of the most common data interchange formats. CSV is compact and spreadsheet-friendly; JSON is preferred by APIs and web applications. Converting between them is a frequent task when building integrations, importing data, or processing exports from databases and spreadsheets.</p>
<p>Paste CSV data with a header row and click CSV → JSON to get a JSON array where each row becomes an object keyed by header names. To go the other way, paste a JSON array and click JSON → CSV. Toggle Pretty-print for readable JSON output or Quote strings to control CSV formatting.</p>"
csv-json,es,⇄,#f59e0b,CSV ↔ JSON,"Convierte datos CSV a un array JSON, o convierte un array JSON de vuelta a CSV.","<p>CSV y JSON son dos de los formatos de intercambio de datos más comunes. CSV es compacto y amigable con las hojas de cálculo; JSON es preferido por las APIs y las aplicaciones web. Convertir entre ellos es una tarea frecuente al construir integraciones, importar datos o procesar exportaciones de bases de datos y hojas de cálculo.</p>
<p>Pega datos CSV con una fila de encabezado y haz clic en CSV → JSON para obtener un array JSON donde cada fila se convierte en un objeto con claves de los nombres de encabezado. Para ir al revés, pega un array JSON y haz clic en JSON → CSV. Activa Pretty-print para una salida JSON legible.</p>"
csv-json,fr,⇄,#f59e0b,CSV ↔ JSON,"Convert CSV data to a JSON array, or convert a JSON array back to CSV.","<p>CSV et JSON sont deux des formats d'échange de données les plus courants. CSV est compact et adapté aux tableurs ; JSON est préféré par les APIs et les applications web. La conversion entre eux est une tâche fréquente lors de la création d'intégrations, de l'importation de données ou du traitement d'exportations depuis des bases de données et des tableurs.</p>
<p>Collez des données CSV avec une ligne d'en-tête et cliquez sur CSV → JSON pour obtenir un tableau JSON où chaque ligne devient un objet avec les noms d'en-têtes comme clés. Pour l'inverse, collez un tableau JSON et cliquez sur JSON → CSV. Activez Pretty-print pour une sortie JSON lisible.</p>"
csv-json,he,⇄,#f59e0b,ממיר CSV ↔ JSON,"המרת CSV למערך JSON, או JSON בחזרה ל-CSV.","<p>CSV ו-JSON הם שניים מפורמטי חילופי הנתונים הנפוצים ביותר. CSV קומפקטי וידידותי לגיליונות אלקטרוניים; JSON מועדף על ידי APIs ואפליקציות ווב. המרה ביניהם היא משימה תכופה בבניית אינטגרציות, ייבוא נתונים או עיבוד ייצוא ממסדי נתונים וגיליונות.</p>
<p>הדביקו נתוני CSV עם שורת כותרת ולחצו CSV → JSON כדי לקבל מערך JSON שבו כל שורה הופכת לאובייקט. לכיוון ההפוך, הדביקו מערך JSON ולחצו JSON → CSV. הפעילו Pretty-print לפלט JSON קריא.</p>"
csv-json,pt,⇄,#f59e0b,CSV ↔ JSON,"Convert CSV data to a JSON array, or convert a JSON array back to CSV.",null
csv-json,ru,⇄,#f59e0b,CSV ↔ JSON,Конвертируйте CSV-данные в массив JSON или обратно.,"<p>CSV и JSON — два наиболее распространённых формата обмена данными. CSV компактен и удобен для таблиц; JSON предпочтителен для API и веб-приложений. Конвертация между ними — частая задача при построении интеграций, импорте данных или обработке экспортов из баз данных и электронных таблиц.</p>
<p>Вставьте CSV-данные с заголовочной строкой и нажмите «CSV → JSON», чтобы получить массив JSON, где каждая строка становится объектом с ключами из заголовков. Для обратного преобразования вставьте массив JSON и нажмите «JSON → CSV». Используйте опции «Красивый JSON» и «Кавычки строк» для настройки формата вывода.</p>"
csv-json,ua,⇄,#f59e0b,CSV ↔ JSON,Конвертуйте CSV-дані в JSON-масив або JSON-масив назад у CSV.,"<p>CSV та JSON — два найпоширеніших формати обміну даними. CSV компактний і зручний для таблиць; JSON — для API та веб-додатків. Конвертація між ними — часте завдання при інтеграціях, імпорті даних та обробці експортів.</p>
<p>Вставте CSV з заголовковим рядком і натисніть «CSV → JSON» для масиву JSON. Для зворотного перетворення вставте JSON і натисніть «JSON → CSV». Використовуйте Pretty-print для зручного JSON.</p>"
json-formatter,de,{},#2dd4a0,JSON Formatter,"Format and validate JSON for readability, or minify it for production.","<p>JSON (JavaScript Object Notation) ist das gängigste Datenformat für APIs und Konfigurationsdateien. Rohes JSON aus einer API-Antwort ist oft minifiziert — alles in einer Zeile — und damit unlesbar. Dieser Formatter fügt sofort korrekte Einrückungen und Zeilenumbrüche hinzu, damit Sie die Datenstruktur auf einen Blick verstehen können.</p>
<p>Fügen Sie Ihr JSON ein und klicken Sie auf Formatieren, um es lesbar zu machen, oder auf Minifizieren, um es für die Produktion auf eine Zeile zu komprimieren. Das Tool validiert Ihr JSON und zeigt eine Fehlermeldung mit der genauen Position eines Syntaxproblems an, damit Sie fehlerhafte Daten schnell identifizieren und beheben können.</p>"
json-formatter,en,{},#2dd4a0,JSON Formatter,"Format and validate JSON for readability, or minify it for production.","<p>JSON (JavaScript Object Notation) is the most common data format for APIs and configuration files. Raw JSON from an API response is often minified — all on one line — making it unreadable. This formatter adds proper indentation and line breaks instantly so you can understand the data structure at a glance.</p>
<p>Paste your JSON and click Format to make it human-readable, or Minify to compress it to a single line for production. The tool validates your JSON and shows an error message with the exact location of any syntax problems, helping you identify and fix malformed data quickly.</p>"
json-formatter,es,{},#2dd4a0,Formateador JSON,"Formatea y valida JSON para legibilidad, o minifícalo para producción.","<p>JSON (JavaScript Object Notation) es el formato de datos más común para APIs y archivos de configuración. El JSON sin procesar de una respuesta de API suele estar minificado — todo en una línea — haciéndolo ilegible. Este formateador añade sangría y saltos de línea adecuados al instante para que puedas entender la estructura de datos de un vistazo.</p>
<p>Pega tu JSON y haz clic en Formatear para hacerlo legible, o en Minificar para comprimirlo a una sola línea para producción. La herramienta valida tu JSON y muestra un mensaje de error con la ubicación exacta de cualquier problema de sintaxis, ayudándote a identificar y corregir datos malformados rápidamente.</p>"
json-formatter,fr,{},#2dd4a0,JSON Formatter,"Format and validate JSON for readability, or minify it for production.","<p>JSON (JavaScript Object Notation) est le format de données le plus courant pour les APIs et les fichiers de configuration. Le JSON brut d'une réponse d'API est souvent minifié — tout sur une seule ligne — le rendant illisible. Ce formateur ajoute instantanément une indentation et des sauts de ligne appropriés pour que vous puissiez comprendre la structure des données d'un coup d'œil.</p>
<p>Collez votre JSON et cliquez sur Formater pour le rendre lisible, ou sur Minifier pour le compresser en une seule ligne pour la production. L'outil valide votre JSON et affiche un message d'erreur avec l'emplacement exact de tout problème de syntaxe, vous aidant à identifier et corriger rapidement les données malformées.</p>"
json-formatter,he,{},#2dd4a0,מעצב JSON,"עיצוב ואימות JSON לקריאות, או מזעור לייצור.","<p>JSON (JavaScript Object Notation) הוא פורמט הנתונים הנפוץ ביותר עבור APIs וקבצי תצורה. JSON גולמי מתגובת API הוא לעיתים קרובות ממוזער — הכל בשורה אחת — מה שהופך אותו לבלתי קריא. מעצב זה מוסיף הזחה ושברי שורות מיד כדי שתוכלו להבין את מבנה הנתונים במבט.</p>
<p>הדביקו את ה-JSON ולחצו עיצוב כדי להפוך אותו לקריא, או מזער כדי לדחוס אותו לשורה אחת לייצור. הכלי מאמת את ה-JSON ומציג הודעת שגיאה עם המיקום המדויק של כל בעיית תחביר, ועוזר לזהות ולתקן נתונים פגומים במהירות.</p>"
json-formatter,pt,{},#2dd4a0,JSON Formatter,"Format and validate JSON for readability, or minify it for production.",null
json-formatter,ru,{},#2dd4a0,Форматтер JSON,Форматируйте и проверяйте JSON для удобочитаемости или минифицируйте для продакшена.,"<p>JSON (JavaScript Object Notation) — самый распространённый формат данных для API и конфигурационных файлов. Сырой JSON из ответа API часто минифицирован — всё в одну строку — и нечитаем. Этот форматтер мгновенно добавляет правильные отступы и переносы строк, чтобы структура данных была понятна с первого взгляда.</p>
<p>Вставьте JSON и нажмите «Форматировать» для удобного отображения или «Минифицировать» для сжатия в одну строку для продакшна. Инструмент валидирует JSON и показывает сообщение об ошибке с точным указанием синтаксической проблемы, помогая быстро исправить некорректные данные.</p>"
json-formatter,ua,{},#2dd4a0,Форматувальник JSON,Форматуйте та валідуйте JSON для читабельності або мініфікуйте для продакшну.,"<p>JSON (JavaScript Object Notation) — найпоширеніший формат даних для API та конфігураційних файлів. Сирий JSON з API часто мініфікований — все в один рядок — і нечитабельний. Цей форматувальник миттєво додає відступи та переноси рядків.</p>
<p>Вставте JSON і натисніть «Форматувати» для зручного відображення або «Мініфікувати» для стиснення в один рядок. Інструмент валідує JSON і показує помилку з точним місцем синтаксичної проблеми.</p>"
markdown-preview,de,"✍️ ",#f56565,Markdown Preview,"Write Markdown on the left, see rendered HTML on the right in real time.","<p>Markdown ist eine leichtgewichtige Auszeichnungssprache, mit der Sie Text mithilfe einfacher Symbole formatieren können — Sternchen für Fettschrift, Rauten für Überschriften, Bindestriche für Listen. Es wird in README-Dateien, Dokumentationen, Blogbeiträgen, GitHub-Kommentaren und vielen Content-Management-Systemen verwendet. Markdown zu schreiben ist schnell; die Vorschau in Echtzeit zu sehen macht es noch besser.</p>
<p>Schreiben Sie Ihr Markdown im linken Bereich und sehen Sie das gerenderte HTML live auf der rechten Seite aktualisieren. Unterstützt Überschriften (H1–H3), Fettschrift, Kursivschrift, Inline-Code, Blockquotes, ungeordnete Listen und Links. Klicken Sie auf HTML kopieren, um die gerenderte HTML-Ausgabe zu erhalten.</p>"
markdown-preview,en,"✍️ ",#f56565,Markdown Preview,"Write Markdown on the left, see rendered HTML on the right in real time.","<p>Markdown is a lightweight markup language that lets you format text using simple symbols — asterisks for bold, hashes for headings, hyphens for lists. It is used in README files, documentation, blog posts, GitHub comments, and many content management systems. Writing Markdown is fast; seeing the render in real time makes it even better.</p>
<p>Write your Markdown in the left panel and see rendered HTML update live on the right. Supports headings (H1–H3), bold, italic, inline code, blockquotes, unordered lists, and links. Click Copy HTML to get the rendered HTML output ready to paste into any HTML document or CMS.</p>"
markdown-preview,es,"✍️ ",#f56565,Vista previa Markdown,"Escribe Markdown a la izquierda, ve el HTML renderizado a la derecha en tiempo real.","<p>Markdown es un lenguaje de marcado ligero que te permite formatear texto usando símbolos simples — asteriscos para negrita, almohadillas para encabezados, guiones para listas. Se usa en archivos README, documentación, entradas de blog, comentarios de GitHub y muchos sistemas de gestión de contenido. Escribir Markdown es rápido; ver el resultado en tiempo real lo hace aún mejor.</p>
<p>Escribe tu Markdown en el panel izquierdo y ve el HTML renderizado actualizarse en vivo a la derecha. Compatible con encabezados (H1–H3), negrita, cursiva, código en línea, citas, listas desordenadas y enlaces. Haz clic en Copiar HTML para obtener el resultado listo para pegar en cualquier documento HTML o CMS.</p>"
markdown-preview,fr,"✍️ ",#f56565,Markdown Preview,"Write Markdown on the left, see rendered HTML on the right in real time.","<p>Markdown est un langage de balisage léger qui vous permet de formater du texte avec de simples symboles — des astérisques pour le gras, des dièses pour les titres, des tirets pour les listes. Il est utilisé dans les fichiers README, la documentation, les articles de blog, les commentaires GitHub et de nombreux CMS. Écrire en Markdown est rapide ; voir le rendu en temps réel le rend encore meilleur.</p>
<p>Rédigez votre Markdown dans le panneau gauche et voyez le HTML rendu se mettre à jour en direct à droite. Prend en charge les titres (H1–H3), le gras, l'italique, le code en ligne, les citations, les listes non ordonnées et les liens. Cliquez sur Copier le HTML pour obtenir le résultat prêt à coller dans n'importe quel document HTML ou CMS.</p>"
markdown-preview,he,"✍️ ",#f56565,תצוגת Markdown,"כתבו Markdown משמאל, ראו HTML מעובד מימין בזמן אמת.","<p>Markdown היא שפת סימון קלת משקל שמאפשרת לעצב טקסט באמצעות סמלים פשוטים — כוכביות לבולד, סולמות לכותרות, מקפים לרשימות. היא משמשת בקבצי README, תיעוד, פוסטים בבלוג, תגובות GitHub ומערכות ניהול תוכן רבות.</p>
<p>כתבו Markdown בפאנל השמאלי וראו HTML מעובד מתעדכן בזמן אמת מימין. תומך בכותרות (H1–H3), בולד, נטוי, קוד inline, ציטוטים, רשימות לא ממוספרות וקישורים. לחצו העתק HTML כדי לקבל את הפלט מוכן להדבקה בכל מסמך HTML או CMS.</p>"
markdown-preview,pt,"✍️ ",#f56565,Markdown Preview,"Write Markdown on the left, see rendered HTML on the right in real time.",null
markdown-preview,ru,"✍️ ",#f56565,Просмотр Markdown,Пишите Markdown слева — видите отрендеренный HTML справа в реальном времени.,"<p>Markdown — лёгкий язык разметки, позволяющий форматировать текст с помощью простых символов: звёздочки для жирного, решётки для заголовков, дефисы для списков. Используется в README-файлах, документации, блог-постах, комментариях GitHub и многих CMS. Писать на Markdown быстро; просмотр результата в реальном времени делает это ещё удобнее.</p>
<p>Введите Markdown в левой панели и наблюдайте, как отрендеренный HTML обновляется справа в режиме реального времени. Поддерживаются заголовки (H1–H3), жирный, курсив, встроенный код, цитаты, ненумерованные списки и ссылки. Нажмите «Скопировать HTML» для вставки в любой HTML-документ или CMS.</p>"
markdown-preview,ua,"✍️ ",#f56565,Перегляд Markdown,Пишіть Markdown зліва — бачте відрендерений HTML справа в реальному часі.,"<p>Markdown — легка мова розмітки для форматування тексту простими символами: зірочки для жирного, решітки для заголовків, дефіси для списків. Використовується в README, документації, блогах, GitHub та CMS.</p>
<p>Пишіть Markdown зліва — бачте відрендерений HTML справа в реальному часі. Підтримуються заголовки (H1–H3), жирний, курсив, код, цитати, списки та посилання. Натисніть «Скопіювати HTML» для вставки.</p>"
password-generator,de,🔐,#7c6af7,Password Generator,Generate strong random passwords with full control over length and character types.,"<p>Die Verwendung schwacher oder wiederverwendeter Passwörter ist eine der häufigsten Ursachen für Kontoverletzungen. Ein starkes Passwort sollte lang (mindestens 16 Zeichen), zufällig und eine Mischung aus Groß- und Kleinbuchstaben, Zahlen und Symbolen sein. Dieser Generator erstellt kryptografisch sichere Passwörter vollständig in Ihrem Browser — keine Daten verlassen Ihr Gerät.</p>
<p>Stellen Sie die Länge mit dem Schieberegler ein (6 bis 64 Zeichen), wählen Sie die einzuschließenden Zeichentypen aus und klicken Sie auf Generieren. Der Stärkeanzeiger zeigt, wie sicher Ihr Passwort ist. Klicken Sie auf Kopieren, um es in die Zwischenablage zu speichern. Jedes Passwort ist einzigartig — generieren Sie so viele wie nötig.</p>"
password-generator,en,🔐,#7c6af7,Password Generator,Generate strong random passwords with full control over length and character types.,"<p>Using weak or reused passwords is one of the most common causes of account breaches. A strong password should be long (at least 16 characters), random, and include a mix of uppercase letters, lowercase letters, numbers, and symbols. This generator creates cryptographically secure passwords entirely in your browser — no data ever leaves your device.</p>
<p>Set the length using the slider (6 to 64 characters), select which character types to include, and click Generate. The strength bar shows how secure your password is. Click Copy to save it to your clipboard. Every password is unique — generate as many as you need.</p>"
password-generator,es,🔐,#7c6af7,Generador de contraseñas,Genera contraseñas aleatorias seguras con control total sobre longitud y tipos de caracteres.,"<p>Usar contraseñas débiles o reutilizadas es una de las causas más comunes de violaciones de cuentas. Una contraseña fuerte debe ser larga (al menos 16 caracteres), aleatoria e incluir una mezcla de letras mayúsculas, minúsculas, números y símbolos. Este generador crea contraseñas criptográficamente seguras completamente en tu navegador — ningún dato sale de tu dispositivo.</p>
<p>Establece la longitud con el control deslizante (de 6 a 64 caracteres), selecciona qué tipos de caracteres incluir y haz clic en Generar. La barra de fortaleza muestra qué tan segura es tu contraseña. Haz clic en Copiar para guardarla en tu portapapeles. Cada contraseña es única — genera tantas como necesites.</p>"
password-generator,fr,🔐,#7c6af7,Password Generator,Generate strong random passwords with full control over length and character types.,"<p>L'utilisation de mots de passe faibles ou réutilisés est l'une des causes les plus courantes de violations de comptes. Un mot de passe fort doit être long (au moins 16 caractères), aléatoire et inclure un mélange de lettres majuscules, minuscules, chiffres et symboles. Ce générateur crée des mots de passe cryptographiquement sécurisés entièrement dans votre navigateur — aucune donnée ne quitte votre appareil.</p>
<p>Définissez la longueur avec le curseur (6 à 64 caractères), sélectionnez les types de caractères à inclure et cliquez sur Générer. La barre de force indique la sécurité de votre mot de passe. Cliquez sur Copier pour le sauvegarder dans votre presse-papiers. Chaque mot de passe est unique — générez-en autant que vous le souhaitez.</p>"
