keyword,lang,category,intent,priority,target_url,notes
v0 vs cursor,en,comparison,commercial,2,/compare.html?a=v0-by-vercel&b=cursor,Build static
runway vs sora,en,comparison,commercial,2,/compare.html?a=runway&b=sora,Note sora deleted
jasper vs copy ai,en,comparison,commercial,3,/compare.html?a=jasper&b=copy-ai,
notion ai vs chatgpt,en,comparison,commercial,2,/compare.html?a=notion-ai&b=chatgpt,
elevenlabs vs play ht,en,comparison,commercial,3,/compare.html?a=elevenlabs&b=playht,
bolt vs v0,en,comparison,commercial,3,/compare.html?a=bolt-new&b=v0-by-vercel,
ai to write blog posts,en,intent,commercial,2,/,Homepage prompt
ai to summarize documents,en,intent,commercial,2,/,Homepage prompt
ai to generate images from text,en,intent,commercial,2,/,
ai to clone voice,en,intent,commercial,3,/,
ai to write code,en,intent,commercial,2,/,
ai to debug code,en,intent,commercial,3,/,
best ai for resume,en,intent,commercial,2,/,
ai for cover letter,en,intent,commercial,3,/,
ai for excel formulas,en,intent,commercial,3,/,
ai for transcription,en,intent,commercial,2,/,
ai for translation,en,intent,commercial,2,/,
ai for podcast,en,intent,commercial,3,/,
ai for social media,en,intent,commercial,2,/,
ai for email writing,en,intent,commercial,2,/,
ai for image upscaling,en,intent,commercial,3,/,
ai for background removal,en,intent,commercial,3,/,
ai for video editing,en,intent,commercial,2,/,
ai for music generation,en,intent,commercial,2,/,
ai for logo design,en,intent,commercial,3,/,
ai for landing page,en,intent,commercial,3,/,
free ai tools,en,intent,commercial,1,/directory.html,High volume
free token counter,en,toolbox,informational,2,/tools/token-counter.html,
claude token counter,en,toolbox,informational,2,/tools/token-counter.html,
chatgpt token counter,en,toolbox,informational,2,/tools/token-counter.html,
regex tester online,en,toolbox,informational,3,/tools/regex-tester.html,
json formatter online,en,toolbox,informational,3,/tools/json-formatter.html,
markdown preview online,en,toolbox,informational,3,/tools/markdown-preview.html,
text diff tool,en,toolbox,informational,3,/tools/text-diff.html,
word counter online,en,toolbox,informational,3,/tools/word-counter.html,
password generator online,en,toolbox,informational,3,/tools/password-generator.html,
base64 encoder,en,toolbox,informational,3,/tools/base64.html,
ии инструменты,ru,brand,commercial,1,/ru/,Core RU
лучшие ии инструменты,ru,brand,commercial,1,/ru/directory.html,
ии для задач,ru,brand,commercial,2,/ru/,
ии помощник,ru,brand,commercial,2,/ru/,
ии каталог,ru,brand,navigational,2,/ru/directory.html,
лучший ии чат,ru,chat,commercial,1,/ru/directory.html?cat=chat,
ии для кода,ru,code,commercial,1,/ru/directory.html?cat=code,
ии для изображений,ru,image,commercial,1,/ru/directory.html?cat=image,
ии для видео,ru,video,commercial,1,/ru/directory.html?cat=video,
ии генератор изображений,ru,image,commercial,1,/ru/directory.html?cat=image,
ии генератор видео,ru,video,commercial,2,/ru/directory.html?cat=video,
chatgpt отзыв,ru,tool-review,informational,2,/ru/tools/chatgpt.html,
claude отзыв,ru,tool-review,informational,2,/ru/tools/claude.html,
midjourney отзыв,ru,tool-review,informational,2,/ru/tools/midjourney.html,
бесплатные ии инструменты,ru,intent,commercial,1,/ru/directory.html,
ии для маркетинга,ru,marketing,commercial,2,/ru/directory.html?cat=marketing,
ии для дизайна,ru,design,commercial,2,/ru/directory.html?cat=design,
ии для презентаций,ru,presentations,commercial,2,/ru/directory.html?cat=presentations,
ии для бизнеса,ru,brand,commercial,2,/ru/,
ии для учёбы,ru,education,commercial,3,/ru/directory.html?cat=education,
альтернативы chatgpt,ru,tool-review,commercial,2,/ru/tools/chatgpt.html,
ии для перевода,ru,intent,commercial,2,/ru/,
ии транскрипция,ru,intent,commercial,3,/ru/,
сравнение ии инструментов,ru,brand,commercial,2,/ru/compare.html,
ки тулс 2026,ru,brand,commercial,3,/ru/,Mistranslation but searched
ии для текста,ru,writing,commercial,2,/ru/directory.html?cat=writing,
ki tools 2026,de,brand,commercial,1,/de/,Core DE
beste ki tools,de,brand,commercial,1,/de/directory.html,
ki für aufgaben,de,brand,commercial,2,/de/,
ki katalog,de,brand,navigational,2,/de/directory.html,
ki chatbot,de,chat,commercial,1,/de/directory.html?cat=chat,
ki bildgenerator,de,image,commercial,1,/de/directory.html?cat=image,
ki für entwickler,de,code,commercial,1,/de/directory.html?cat=code,
chatgpt alternativen,de,tool-review,commercial,1,/de/tools/chatgpt.html,
midjourney alternativen,de,tool-review,commercial,2,/de/tools/midjourney.html,
ki schreibassistent,de,writing,commercial,2,/de/directory.html?cat=writing,
ki für marketing,de,marketing,commercial,2,/de/directory.html?cat=marketing,
ki sprachgenerator,de,voice,commercial,2,/de/directory.html?cat=voice,
ki video generator,de,video,commercial,1,/de/directory.html?cat=video,
kostenlose ki tools,de,intent,commercial,1,/de/directory.html,
ki vergleich,de,brand,commercial,2,/de/compare.html,
mejores herramientas ia,es,brand,commercial,1,/es/directory.html,Core ES
ia para tareas,es,brand,commercial,2,/es/,
catálogo ia,es,brand,navigational,2,/es/directory.html,
chatgpt alternativas,es,tool-review,commercial,1,/es/tools/chatgpt.html,
generador imágenes ia,es,image,commercial,1,/es/directory.html?cat=image,
ia para escribir,es,writing,commercial,2,/es/directory.html?cat=writing,
ia para programar,es,code,commercial,1,/es/directory.html?cat=code,
ia gratis,es,intent,commercial,1,/es/directory.html,
ia para video,es,video,commercial,2,/es/directory.html?cat=video,
comparación ia,es,brand,commercial,2,/es/compare.html,
herramientas ia 2026,es,brand,commercial,1,/es/,
ia para marketing,es,marketing,commercial,2,/es/directory.html?cat=marketing,
ia para diseño,es,design,commercial,2,/es/directory.html?cat=design,
midjourney alternativas,es,tool-review,commercial,2,/es/tools/midjourney.html,
chatgpt opiniones,es,tool-review,informational,2,/es/tools/chatgpt.html,
כלי ai,he,brand,commercial,1,/he/,Core HE
בינה מלאכותית כלים,he,brand,commercial,1,/he/directory.html,
chatgpt חלופות,he,tool-review,commercial,2,/he/tools/chatgpt.html,
ai לתרגום,he,intent,commercial,2,/he/,
ai חינם,he,intent,commercial,2,/he/directory.html,
כלי בינה מלאכותית 2026,he,brand,commercial,1,/he/,
ai לכתיבה,he,writing,commercial,2,/he/directory.html?cat=writing,
ai לעיצוב,he,design,commercial,2,/he/directory.html?cat=design,
ai לתמונות,he,image,commercial,1,/he/directory.html?cat=image,
ai לקוד,he,code,commercial,1,/he/directory.html?cat=code,
ШІ інструменти,ua,brand,commercial,1,/ua/,Core UA
найкращі ШІ,ua,brand,commercial,1,/ua/directory.html,
ШІ для коду,ua,code,commercial,1,/ua/directory.html?cat=code,
chatgpt відгук,ua,tool-review,informational,2,/ua/tools/chatgpt.html,
ШІ для дизайну,ua,design,commercial,2,/ua/directory.html?cat=design,
ШІ для зображень,ua,image,commercial,1,/ua/directory.html?cat=image,
безкоштовні ШІ інструменти,ua,intent,commercial,1,/ua/directory.html,
ШІ генератор зображень,ua,image,commercial,1,/ua/directory.html?cat=image,
ШІ для маркетингу,ua,marketing,commercial,2,/ua/directory.html?cat=marketing,
midjourney альтернативи,ua,tool-review,commercial,2,/ua/tools/midjourney.html,
