keyword,lang,priority,target_url,place_2026_05_01,notes
midjourney vs stable diffusion,en,2,/compare.html?a=midjourney&b=stable-diffusion,>10,not in top 10; luniq/neuronad/spliiit dominate
v0 vs cursor,en,2,/compare.html?a=v0-by-vercel&b=cursor,>10,not in top 10; tooljet/fewertools/emergent dominate (no static page yet)
runway vs sora,en,2,/compare.html?a=runway&b=sora,>10,not in top 10; Sora shut down Mar 25 2026; fahimai/medium/sitepoint dominate
jasper vs copy ai,en,3,/compare.html?a=jasper&b=copy-ai,>10,not in top 10; digitalsproductivity/blogginglift/aigeeza dominate
notion ai vs chatgpt,en,2,/compare.html?a=notion-ai&b=chatgpt,>10,not in top 10; nuclino/photes.io/brightseotools dominate
elevenlabs vs play ht,en,3,/compare.html?a=elevenlabs&b=playht,>10,not in top 10; PlayHT shut down Dec 2025; unrealspeech/elevenlabs/cartesia dominate
bolt vs v0,en,3,/compare.html?a=bolt-new&b=v0-by-vercel,>10,not in top 10; index.dev/fewertools/nxcode/shipsquad dominate (no static page yet)
ai to write blog posts,en,2,/,>10,not in top 10; grammarly/aioseo/wix dominate
ai to summarize documents,en,2,/,>10,not in top 10; quillbot/adobe/sharly dominate
ai to generate images from text,en,2,/,>10,not in top 10; deepai/canva/adobe dominate
ai to clone voice,en,3,/,>10,not in top 10; elevenlabs/lalal.ai/heygen dominate
ai to write code,en,2,/,>10,not in top 10; deepai/pieces/cursor dominate
ai to debug code,en,3,/,>10,not in top 10; zzzcode/microsoft/workik dominate
best ai for resume,en,2,/,>10,not in top 10; rezi/kickresume/zapier dominate
ai for cover letter,en,3,/,>10,not in top 10; grammarly/jotform/applyarc dominate
ai for excel formulas,en,3,/,>10,not in top 10; gptexcel/formulabot/aiexcelbot dominate
ai for transcription,en,2,/,>10,not in top 10; otter.ai/guideflow/sonix dominate
ai for translation,en,2,/,>10,not in top 10; poeditor/jotme.io/adverbum dominate
ai for podcast,en,3,/,>10,not in top 10; arize/notegpt/toolradar dominate
ai for social media,en,2,/,>10,not in top 10; socialnewsdesk/zapier/tycoonstory dominate
ai for email writing,en,2,/,>10,not in top 10; writemail/mailmeteor/whitepanther dominate
ai for image upscaling,en,3,/,>10,not in top 10; curiousrefuge/krea/genviral dominate
ai for background removal,en,3,/,>10,not in top 10; removal.ai/notegpt/alloypress dominate
ai for video editing,en,2,/,>10,not in top 10; zapier/nofilmschool/resource.digen.ai dominate
ai for music generation,en,2,/,>10,not in top 10; techcrunch/wavespeed/curiousrefuge dominate
ai for logo design,en,3,/,>10,not in top 10; logodiffusion/alloypress/canva dominate
ai for landing page,en,3,/,>10,not in top 10; manus/nxcode/perspective dominate
free ai tools 2026,en,2,/,>10,not in top 10; google cloud/datacamp dominate
free token counter ai,en,3,/tools/token-counter.html,>10,not in top 10; runcell/token-calculator.net dominate
claude token counter,en,2,/tools/token-counter.html,>10,not in top 10; claude-tokenizer.vercel.app/simonwillison dominate
chatgpt token counter,en,2,/tools/token-counter.html,>10,not in top 10; chrome web store/openai/chatgpt.com dominate
regex tester online,en,3,/tools/regex-tester.html,>10,not in top 10; regex101/regexr dominate
json formatter online,en,3,/tools/json-formatter.html,>10,not in top 10; jsonformatter.org/curiousconcept/jsoneditoronline dominate
markdown preview online,en,3,/tools/markdown-preview.html,>10,not in top 10; markdownlivepreview.com/dillinger/stackedit dominate
text diff tool,en,3,/tools/text-diff.html,>10,not in top 10; diffchecker/draftable/text-compare.com dominate
word counter online,en,3,/tools/word-counter.html,>10,not in top 10; wordcounter.net/grammarly/quillbot dominate
password generator online,en,3,/tools/password-generator.html,>10,not in top 10; lastpass/1password/expressvpn dominate
base64 encoder,en,3,/tools/base64.html,>10,not in top 10; base64encode.org/base64encode.net dominate
ии инструменты,ru,1,/ru/,>10,not in top 10; hse.ru/habr/waildworld dominate
лучшие ии инструменты,ru,1,/ru/,>10,not in top 10; habr/sber developers/dtf dominate
ии для задач,ru,1,/ru/,>10,not in top 10; studentbot/ranvik dominate (different meaning: task/homework solver)
ии помощник,ru,1,/ru/,>10,not in top 10; alice.yandex/cloud.ru/monica.im dominate
ии каталог,ru,2,/ru/directory.html,>10,not in top 10; ai-panda.ru/waildworld/aimarketcap.ru dominate
лучший ии чат,ru,2,/ru/directory.html?cat=chat,>10,not in top 10; okocrm/vc.ru/dtf dominate
ии для кода,ru,2,/ru/directory.html?cat=code,>10,not in top 10; thecode.media/sostav/vc.ru dominate
ии для изображений,ru,2,/ru/directory.html?cat=image,>10,not in top 10; habr/sostav dominate
ии для видео,ru,1,/ru/directory.html?cat=video,>10,not in top 10; vc.ru/klerk.ru/sostav dominate
ии генератор изображений,ru,1,/ru/directory.html?cat=image,>10,not in top 10; sostav/habr/rbc/dtf dominate
ии генератор видео,ru,2,/ru/directory.html?cat=video,>10,not in top 10; invideo.io/renderforest/vc.ru dominate
chatgpt отзыв,ru,2,/ru/tools/chatgpt.html,>10,not in top 10; crmindex.ru/partnerkin/dtf/exnode dominate
claude отзыв,ru,2,/ru/tools/claude.html,>10,not in top 10; goit.global/habr/dtf/vc.ru dominate
midjourney отзыв,ru,2,/ru/tools/midjourney.html,>10,not in top 10; somake.ai/vc.ru/computertech.co/cybernews dominate
бесплатные ии инструменты,ru,1,/ru/directory.html,>10,not in top 10; datacamp/aineuro-tools.ru/habr dominate
ии для маркетинга,ru,2,/ru/directory.html?cat=marketing,>10,not in top 10; inhouse-marketing.ru/sostav/vc.ru/dtf dominate
ии для дизайна,ru,2,/ru/directory.html?cat=design,>10,not in top 10; vc.ru/marquiz.ru/martrending dominate
ии для презентаций,ru,2,/ru/directory.html?cat=presentations,>10,not in top 10; habr/elama.ru/vc.ru dominate
ии для бизнеса,ru,2,/ru/,>10,not in top 10; vc.ru/digital-report.ru/dtf/kp.ru dominate
ии для учёбы,ru,3,/ru/directory.html?cat=education,>10,not in top 10; neirobox.ru/vc.ru/dtf/habr dominate
альтернативы chatgpt,ru,2,/ru/tools/chatgpt.html,>10,not in top 10; hostkey.ru/skillbox/eldorado.ru/vc.ru dominate
ии для перевода,ru,2,/ru/,>10,not in top 10; deepl/transyncai/hix.ai/skillbox dominate
ии транскрипция,ru,3,/ru/,>10,not in top 10; whisperbot.ai/sonix.ai/turboscribe.ai dominate
сравнение ии инструментов,ru,2,/ru/compare.html,>10,not in top 10; sber.ru/habr/retext.ai/aimarketcap.ru dominate
ки тулс 2026,ru,3,/ru/,>10,not in top 10; no relevant results (КИИ = Critical Information Infrastructure meaning)
ии для текста,ru,2,/ru/directory.html?cat=writing,>10,not in top 10; vc.ru/ultratext.ru/habr/dtf dominate
ki tools 2026,de,1,/de/,>10,not in top 10; cloud.google.com/nevercodealone.de/ainauten.com dominate
beste ki tools,de,1,/de/directory.html,>10,not in top 10; ainauten.com/synthesia.io/distart.de dominate
ki für aufgaben,de,2,/de/,>10,not in top 10; gauthmath.com/scoolio.de/kihausaufgaben.de dominate
ki katalog,de,2,/de/directory.html,>10,not in top 10; ki-katalog.de dominates (direct competitor)
ki chatbot,de,1,/de/directory.html?cat=chat,>10,not in top 10; zendesk/gradually.ai/flowmatiq.eu dominate
ki bildgenerator,de,1,/de/directory.html?cat=image,>10,not in top 10; boddenberg.de/gradually.ai/robert-leitinger.com dominate
ki für entwickler,de,1,/de/directory.html?cat=code,>10,not in top 10; linkeum.com/microsoft.com/manus.im dominate
chatgpt alternativen,de,1,/de/tools/chatgpt.html,>10,not in top 10; technovice.net/robert-leitinger.com/manus.im dominate
midjourney alternativen,de,2,/de/tools/midjourney.html,>10,not in top 10; omr.com/somake.ai/gradually.ai dominate
ki schreibassistent,de,2,/de/directory.html?cat=writing,>10,not in top 10; finde.tools/jenova.ai/capterra dominate
ki für marketing,de,2,/de/directory.html?cat=marketing,>10,not in top 10; digitalbeat.de/meltwater.com/pipedrive.com dominate
ki sprachgenerator,de,2,/de/directory.html?cat=voice,>10,not in top 10; kopfundstift.de/gradually.ai/ki-wandel.de dominate
ki video generator,de,1,/de/directory.html?cat=video,>10,not in top 10; synthesia.io/deevid.ai/invideo.io dominate
kostenlose ki tools,de,1,/de/directory.html,>10,not in top 10; cloud.google.com/synthesia.io/datacamp.com dominate
ki vergleich,de,2,/de/compare.html,>10,not in top 10; synthesia.io/ainauten.com/data-unplugged.de dominate
mejores herramientas ia,es,1,/es/directory.html,>10,not in top 10; synthesia.io/aprender21.com/javadex.es dominate
ia para tareas,es,2,/es/,>10,not in top 10; aprender21.com/decopy.ai/juancmejia.com dominate
catálogo ia,es,2,/es/directory.html,>10,not in top 10; aprender21.com/iadirecto.com/crmwhata.com dominate
chatgpt alternativas,es,1,/es/tools/chatgpt.html,>10,not in top 10; tactiq.io/manus.im/datacamp.com dominate
generador imágenes ia,es,1,/es/directory.html?cat=image,>10,not in top 10; thefactoryschool.com/arsys.es/wavespeed.ai dominate
ia para escribir,es,2,/es/directory.html?cat=writing,>10,not in top 10; ia.net/tesify.es/javadex.es dominate
ia para programar,es,1,/es/directory.html?cat=code,>10,not in top 10; serverspace.io/gurusup.com/linkeum.com dominate
ia gratis,es,1,/es/directory.html,>10,not in top 10; aprender21.com/iadirecto.com/datacamp.com dominate
ia para video,es,2,/es/directory.html?cat=video,>10,not in top 10; invideo.io/manus.im/arcaartificial.com dominate
comparación ia,es,2,/es/compare.html,>10,not in top 10; juancmejia.com/cobertura360.mx/javadex.es dominate
herramientas ia 2026,es,1,/es/,>10,not in top 10; javadex.es/datacamp.com/synthesia.io dominate
ia para marketing,es,2,/es/directory.html?cat=marketing,>10,not in top 10; business.google.com/iebschool.com/inforges.es dominate
ia para diseño,es,2,/es/directory.html?cat=design,>10,not in top 10; huntscreens.com/javadex.es/jenova.ai dominate
midjourney alternativas,es,2,/es/tools/midjourney.html,>10,not in top 10; somake.ai/xataka.com/glbgpt.com dominate
chatgpt opiniones,es,2,/es/tools/chatgpt.html,>10,not in top 10; trustpilot.com/hackceleration.com/donweb.com dominate
כלי ai,he,1,/he/,>10,not in top 10; smartphonelessons.net/jonnystudio.co.il/wisns.com dominate
בינה מלאכותית כלים,he,1,/he/directory.html,>10,not in top 10; smartphonelessons.net/kinbio.co.il/eyalmarcus.com dominate
chatgpt חלופות,he,2,/he/tools/chatgpt.html,>10,not in top 10; techverdi.com/smartphonelessons.net/nxcode.io dominate
ai לתרגום,he,2,/he/,>10,not in top 10; machinetranslation.com/jonnystudio.co.il/openl.io dominate
ai חינם,he,2,/he/directory.html,>10,not in top 10; gamma.app/jonnystudio.co.il/aibox.co.il dominate
כלי בינה מלאכותית 2026,he,1,/he/,>10,not in top 10; smartphonelessons.net/kinbio.co.il/eyalmarcus.com dominate
ai לכתיבה,he,2,/he/directory.html?cat=writing,>10,not in top 10; huji.ac.il/jonnystudio.co.il/seolinks.co.il dominate
ai לעיצוב,he,2,/he/directory.html?cat=design,>10,not in top 10; softwarecompare.co.il/letsai.co.il/designai.co.il dominate
ai לתמונות,he,1,/he/directory.html?cat=image,>10,not in top 10; letsai.co.il/softwarecompare.co.il/nanobanana.io dominate
ai לקוד,he,1,/he/directory.html?cat=code,>10,not in top 10; qodo.ai/jetbrains.com/the-ai-corner.com dominate
ШІ інструменти,ua,1,/ua/,>10,not in top 10; uhl-edu.kiev.ua/pippit.ai/daytoday.ua dominate
найкращі ШІ,ua,1,/ua/directory.html,>10,not in top 10; uhl-edu.kiev.ua/ua.weblium.com/ai360.com.ua dominate
ШІ для коду,ua,1,/ua/directory.html?cat=code,>10,not in top 10; goit.global/proit.ua/ai360.com.ua dominate
chatgpt відгук,ua,2,/ua/tools/chatgpt.html,>10,not in top 10; tsn.ua/mignews.com.ua/chatgptacademy.online dominate
ШІ для дизайну,ua,2,/ua/directory.html?cat=design,>10,not in top 10; ua.weblium.com/svc.com.ua/genius.space dominate
ШІ для зображень,ua,1,/ua/directory.html?cat=image,>10,not in top 10; drukarnia.com.ua/starosta-agency.com/adobe.com dominate
безкоштовні ШІ інструменти,ua,1,/ua/directory.html,>10,not in top 10; uhl-edu.kiev.ua/incrypted.com/drukarnia.com.ua dominate
ШІ генератор зображень,ua,1,/ua/directory.html?cat=image,>10,not in top 10; drukarnia.com.ua/adobe.com/starosta-agency.com dominate
ШІ для маркетингу,ua,2,/ua/directory.html?cat=marketing,>10,not in top 10; hub.kyivstar.ua/watashimarketing.com/well-done.com.ua dominate
midjourney альтернативи,ua,2,/ua/tools/midjourney.html,>10,not in top 10; ain.ua/mc.today/capcut.com/proit.ua dominate
